customer_id,total_revenue,total_units,total_orders,products_purchased,branches_used,first_order_date,last_order_date,average_order_value,purchase_frequency,customer_purchase_status,customer_value_segment,order_frequency_segment,revenue_score,order_score,unit_score,customer_performance_score,performance_category
C0001,52640600,2656,40,30,1,2019-01-26,2024-12-25,1316015.0,0.015060240963855422,Repeat Customer,Medium Value,Medium Frequency,61.297655647576036,63.49206349206349,57.4146130566364,61.179369482734344,Medium Performance
C0002,61160690,3636,56,30,1,2019-01-24,2024-11-28,1092155.1785714286,0.015401540154015401,Repeat Customer,High Value,High Frequency,71.21892445732281,88.88888888888889,78.59922178988327,77.99597325330473,High Performance
C0003,39965740,2365,40,30,1,2019-04-05,2024-10-30,999143.5,0.016913319238900635,Repeat Customer,Low Value,Medium Frequency,46.53834052462463,63.49206349206349,51.1240812797233,52.54160556587602,Low Performance
C0004,49040570,2995,47,30,1,2019-03-21,2024-12-31,1043416.3829787234,0.015692821368948246,Repeat Customer,Medium Value,High Frequency,57.1055795834555,74.60317460317461,64.74275832252486,63.88229383718511,Medium Performance
C0005,67256610,3747,51,30,1,2019-02-28,2024-10-04,1318757.0588235294,0.013610888710968775,Repeat Customer,High Value,High Frequency,78.31735428173917,80.95238095238095,80.99870298313878,79.64413202321163,High Performance
C0006,60992880,3221,46,30,1,2019-04-21,2024-09-02,1325932.1739130435,0.014281279105867743,Repeat Customer,High Value,High Frequency,71.02351711785062,73.01587301587301,69.62818849978383,71.34215816364397,High Performance
C0007,37839490,2263,36,30,1,2019-05-08,2024-11-03,1051096.9444444445,0.015908086610693768,Repeat Customer,Low Value,Low Frequency,44.06241623195588,57.14285714285714,48.91915261565067,48.95789578196522,Low Performance
C0008,38574950,2319,36,30,1,2019-03-04,2024-07-16,1071526.388888889,0.015523932729624839,Repeat Customer,Low Value,Low Frequency,44.91882694578829,57.14285714285714,50.12970168612192,49.62821095297567,Low Performance
C0009,54041610,2677,34,30,1,2019-04-14,2024-11-04,1589459.1176470588,0.01270078446021666,Repeat Customer,Medium Value,Low Frequency,62.92906996539935,53.96825396825397,57.86856895806313,59.22872496478849,Medium Performance
C0010,54508210,3255,50,30,1,2019-01-23,2024-11-27,1090164.2,0.015360983102918587,Repeat Customer,Medium Value,High Frequency,63.472405074139736,79.36507936507937,70.36316472114137,69.61835929082196,High Performance
