customer_id,product_id,product_name,total_units,total_revenue,total_orders
C0001,P001,Hydraulic Pump HP-300,186,4557000,12
C0001,P002,Engine Oil Filter OF-90,98,70560,9
C0001,P003,Air Filter AF-120,73,91250,6
C0001,P004,Track Chain TC-45,87,3462600,8
C0001,P005,Fuel Injector FI-220,62,523900,6
C0001,P006,Alternator ALT-500,61,683200,7
C0001,P007,Hydraulic Hose HH-60,133,192850,10
C0001,P008,Bucket Tooth BT-10,105,60900,9
C0001,P009,Starter Motor SM-700,108,1609200,9
C0001,P010,Turbocharger TB-900,91,3175900,11
C0001,P011,Hydraulic Cylinder HC-200,49,1352400,4
C0001,P012,Brake Pad BP-40,42,102900,3
C0001,P013,Seal Kit SK-15,67,97150,5
C0001,P014,Transmission Assembly TA-800,73,6095500,7
C0001,P015,Engine Block EB-600,105,12495000,8
C0001,P016,Radiator RD-250,96,979200,7
C0001,P017,Fan Belt FB-30,65,33800,8
C0001,P018,Wheel Rim WR-24,91,1028300,8
C0001,P019,Swing Motor SWM-350,89,3542200,8
C0001,P020,Pivot Pin PP-12,82,94300,7
C0001,P021,Boom Cylinder BC-400,95,4389000,6
C0001,P022,Control Valve CV-75,142,2399800,12
C0001,P023,Idler Wheel IW-55,62,802900,7
C0001,P024,Track Roller TR-60,99,1019700,5
C0001,P025,Cabin Glass CG-20,126,989100,10
C0001,P026,Grease Cartridge GC-5,20,6200,4
C0001,P027,O-Ring Set OR-50,83,39840,6
C0001,P028,Light Assembly LA-18,27,60750,6
C0001,P029,Pressure Sensor PS-90,142,560900,9
C0001,P030,Fuel Pump FP-350,97,2124300,10
C0002,P001,Hydraulic Pump HP-300,115,2817500,10
C0002,P002,Engine Oil Filter OF-90,142,102240,11
C0002,P003,Air Filter AF-120,80,100000,7
C0002,P004,Track Chain TC-45,68,2706400,7
C0002,P005,Fuel Injector FI-220,189,1597050,13
C0002,P006,Alternator ALT-500,147,1646400,13
C0002,P007,Hydraulic Hose HH-60,138,200100,11
C0002,P008,Bucket Tooth BT-10,189,109620,17
C0002,P009,Starter Motor SM-700,125,1862500,10
C0002,P010,Turbocharger TB-900,138,4816200,9
C0002,P011,Hydraulic Cylinder HC-200,56,1545600,5
C0002,P012,Brake Pad BP-40,109,267050,11
C0002,P013,Seal Kit SK-15,132,191400,8
C0002,P014,Transmission Assembly TA-800,86,7181000,10
C0002,P015,Engine Block EB-600,104,12376000,9
C0002,P016,Radiator RD-250,77,785400,7
C0002,P017,Fan Belt FB-30,75,39000,8
C0002,P018,Wheel Rim WR-24,112,1265600,8
C0002,P019,Swing Motor SWM-350,122,4855600,9
C0002,P020,Pivot Pin PP-12,107,123050,9
C0002,P021,Boom Cylinder BC-400,165,7623000,13
C0002,P022,Control Valve CV-75,103,1740700,10
C0002,P023,Idler Wheel IW-55,145,1877750,13
C0002,P024,Track Roller TR-60,80,824000,9
C0002,P025,Cabin Glass CG-20,117,918450,11
C0002,P026,Grease Cartridge GC-5,98,30380,9
C0002,P027,O-Ring Set OR-50,180,86400,11
C0002,P028,Light Assembly LA-18,166,373500,13
C0002,P029,Pressure Sensor PS-90,158,624100,13
C0002,P030,Fuel Pump FP-350,113,2474700,12
C0003,P001,Hydraulic Pump HP-300,91,2229500,6
C0003,P002,Engine Oil Filter OF-90,92,66240,6
C0003,P003,Air Filter AF-120,93,116250,9
C0003,P004,Track Chain TC-45,190,7562000,12
C0003,P005,Fuel Injector FI-220,67,566150,6
C0003,P006,Alternator ALT-500,54,604800,4
C0003,P007,Hydraulic Hose HH-60,64,92800,7
C0003,P008,Bucket Tooth BT-10,114,66120,7
C0003,P009,Starter Motor SM-700,65,968500,7
C0003,P010,Turbocharger TB-900,41,1430900,4
C0003,P011,Hydraulic Cylinder HC-200,48,1324800,6
C0003,P012,Brake Pad BP-40,82,200900,9
C0003,P013,Seal Kit SK-15,121,175450,8
C0003,P014,Transmission Assembly TA-800,87,7264500,8
C0003,P015,Engine Block EB-600,37,4403000,6
C0003,P016,Radiator RD-250,74,754800,5
C0003,P017,Fan Belt FB-30,102,53040,8
C0003,P018,Wheel Rim WR-24,41,463300,5
C0003,P019,Swing Motor SWM-350,28,1114400,4
C0003,P020,Pivot Pin PP-12,46,52900,5
C0003,P021,Boom Cylinder BC-400,66,3049200,6
C0003,P022,Control Valve CV-75,115,1943500,9
C0003,P023,Idler Wheel IW-55,151,1955450,9
C0003,P024,Track Roller TR-60,15,154500,3
C0003,P025,Cabin Glass CG-20,48,376800,4
C0003,P026,Grease Cartridge GC-5,99,30690,7
C0003,P027,O-Ring Set OR-50,60,28800,5
C0003,P028,Light Assembly LA-18,72,162000,6
C0003,P029,Pressure Sensor PS-90,93,367350,9
C0003,P030,Fuel Pump FP-350,109,2387100,7
C0004,P001,Hydraulic Pump HP-300,103,2523500,8
C0004,P002,Engine Oil Filter OF-90,103,74160,9
C0004,P003,Air Filter AF-120,160,200000,13
C0004,P004,Track Chain TC-45,109,4338200,10
C0004,P005,Fuel Injector FI-220,206,1740700,14
C0004,P006,Alternator ALT-500,144,1612800,11
C0004,P007,Hydraulic Hose HH-60,99,143550,8
C0004,P008,Bucket Tooth BT-10,59,34220,6
C0004,P009,Starter Motor SM-700,138,2056200,9
C0004,P010,Turbocharger TB-900,56,1954400,7
C0004,P011,Hydraulic Cylinder HC-200,116,3201600,12
C0004,P012,Brake Pad BP-40,100,245000,11
C0004,P013,Seal Kit SK-15,91,131950,7
C0004,P014,Transmission Assembly TA-800,41,3423500,5
C0004,P015,Engine Block EB-600,95,11305000,9
C0004,P016,Radiator RD-250,94,958800,7
C0004,P017,Fan Belt FB-30,43,22360,4
C0004,P018,Wheel Rim WR-24,78,881400,7
C0004,P019,Swing Motor SWM-350,68,2706400,7
C0004,P020,Pivot Pin PP-12,171,196650,13
C0004,P021,Boom Cylinder BC-400,96,4435200,10
C0004,P022,Control Valve CV-75,104,1757600,9
C0004,P023,Idler Wheel IW-55,105,1359750,7
C0004,P024,Track Roller TR-60,74,762200,8
C0004,P025,Cabin Glass CG-20,47,368950,5
C0004,P026,Grease Cartridge GC-5,96,29760,10
C0004,P027,O-Ring Set OR-50,94,45120,7
C0004,P028,Light Assembly LA-18,117,263250,10
C0004,P029,Pressure Sensor PS-90,103,406850,8
C0004,P030,Fuel Pump FP-350,85,1861500,7
C0005,P001,Hydraulic Pump HP-300,63,1543500,5
C0005,P002,Engine Oil Filter OF-90,178,128160,14
C0005,P003,Air Filter AF-120,112,140000,9
C0005,P004,Track Chain TC-45,128,5094400,10
C0005,P005,Fuel Injector FI-220,165,1394250,14
C0005,P006,Alternator ALT-500,155,1736000,14
C0005,P007,Hydraulic Hose HH-60,113,163850,10
C0005,P008,Bucket Tooth BT-10,104,60320,10
C0005,P009,Starter Motor SM-700,113,1683700,8
C0005,P010,Turbocharger TB-900,145,5060500,13
C0005,P011,Hydraulic Cylinder HC-200,129,3560400,12
C0005,P012,Brake Pad BP-40,146,357700,12
C0005,P013,Seal Kit SK-15,205,297250,14
C0005,P014,Transmission Assembly TA-800,78,6513000,7
C0005,P015,Engine Block EB-600,173,20587000,15
C0005,P016,Radiator RD-250,158,1611600,12
C0005,P017,Fan Belt FB-30,110,57200,9
C0005,P018,Wheel Rim WR-24,115,1299500,9
C0005,P019,Swing Motor SWM-350,83,3303400,7
C0005,P020,Pivot Pin PP-12,176,202400,10
C0005,P021,Boom Cylinder BC-400,94,4342800,8
C0005,P022,Control Valve CV-75,89,1504100,10
C0005,P023,Idler Wheel IW-55,121,1566950,9
C0005,P024,Track Roller TR-60,94,968200,11
C0005,P025,Cabin Glass CG-20,108,847800,11
C0005,P026,Grease Cartridge GC-5,104,32240,8
C0005,P027,O-Ring Set OR-50,173,83040,13
C0005,P028,Light Assembly LA-18,123,276750,8
C0005,P029,Pressure Sensor PS-90,76,300200,8
C0005,P030,Fuel Pump FP-350,116,2540400,10
C0006,P001,Hydraulic Pump HP-300,55,1347500,6
C0006,P002,Engine Oil Filter OF-90,125,90000,13
C0006,P003,Air Filter AF-120,109,136250,8
C0006,P004,Track Chain TC-45,162,6447600,12
C0006,P005,Fuel Injector FI-220,101,853450,9
C0006,P006,Alternator ALT-500,168,1881600,10
C0006,P007,Hydraulic Hose HH-60,98,142100,9
C0006,P008,Bucket Tooth BT-10,117,67860,9
C0006,P009,Starter Motor SM-700,88,1311200,10
C0006,P010,Turbocharger TB-900,76,2652400,6
C0006,P011,Hydraulic Cylinder HC-200,132,3643200,13
C0006,P012,Brake Pad BP-40,146,357700,11
C0006,P013,Seal Kit SK-15,97,140650,9
C0006,P014,Transmission Assembly TA-800,49,4091500,5
C0006,P015,Engine Block EB-600,167,19873000,13
C0006,P016,Radiator RD-250,103,1050600,9
C0006,P017,Fan Belt FB-30,80,41600,9
C0006,P018,Wheel Rim WR-24,78,881400,5
C0006,P019,Swing Motor SWM-350,96,3820800,9
C0006,P020,Pivot Pin PP-12,85,97750,9
C0006,P021,Boom Cylinder BC-400,113,5220600,11
C0006,P022,Control Valve CV-75,77,1301300,7
C0006,P023,Idler Wheel IW-55,60,777000,7
C0006,P024,Track Roller TR-60,124,1277200,10
C0006,P025,Cabin Glass CG-20,131,1028350,11
C0006,P026,Grease Cartridge GC-5,81,25110,7
C0006,P027,O-Ring Set OR-50,147,70560,11
C0006,P028,Light Assembly LA-18,112,252000,10
C0006,P029,Pressure Sensor PS-90,180,711000,14
C0006,P030,Fuel Pump FP-350,64,1401600,7
C0007,P001,Hydraulic Pump HP-300,54,1323000,5
C0007,P002,Engine Oil Filter OF-90,52,37440,5
C0007,P003,Air Filter AF-120,84,105000,4
C0007,P004,Track Chain TC-45,92,3661600,6
C0007,P005,Fuel Injector FI-220,117,988650,7
C0007,P006,Alternator ALT-500,54,604800,5
C0007,P007,Hydraulic Hose HH-60,82,118900,7
C0007,P008,Bucket Tooth BT-10,99,57420,8
C0007,P009,Starter Motor SM-700,154,2294600,10
C0007,P010,Turbocharger TB-900,41,1430900,3
C0007,P011,Hydraulic Cylinder HC-200,113,3118800,7
C0007,P012,Brake Pad BP-40,56,137200,7
C0007,P013,Seal Kit SK-15,49,71050,5
C0007,P014,Transmission Assembly TA-800,103,8600500,11
C0007,P015,Engine Block EB-600,33,3927000,5
C0007,P016,Radiator RD-250,25,255000,3
C0007,P017,Fan Belt FB-30,145,75400,14
C0007,P018,Wheel Rim WR-24,10,113000,2
C0007,P019,Swing Motor SWM-350,47,1870600,4
C0007,P020,Pivot Pin PP-12,115,132250,7
C0007,P021,Boom Cylinder BC-400,60,2772000,5
C0007,P022,Control Valve CV-75,118,1994200,10
C0007,P023,Idler Wheel IW-55,46,595700,5
C0007,P024,Track Roller TR-60,85,875500,8
C0007,P025,Cabin Glass CG-20,45,353250,4
C0007,P026,Grease Cartridge GC-5,70,21700,8
C0007,P027,O-Ring Set OR-50,116,55680,9
C0007,P028,Light Assembly LA-18,35,78750,3
C0007,P029,Pressure Sensor PS-90,78,308100,7
C0007,P030,Fuel Pump FP-350,85,1861500,8
C0008,P001,Hydraulic Pump HP-300,99,2425500,10
C0008,P002,Engine Oil Filter OF-90,96,69120,7
C0008,P003,Air Filter AF-120,18,22500,2
C0008,P004,Track Chain TC-45,88,3502400,6
C0008,P005,Fuel Injector FI-220,72,608400,4
C0008,P006,Alternator ALT-500,35,392000,4
C0008,P007,Hydraulic Hose HH-60,41,59450,4
C0008,P008,Bucket Tooth BT-10,67,38860,5
C0008,P009,Starter Motor SM-700,133,1981700,8
C0008,P010,Turbocharger TB-900,58,2024200,7
C0008,P011,Hydraulic Cylinder HC-200,47,1297200,7
C0008,P012,Brake Pad BP-40,85,208250,5
C0008,P013,Seal Kit SK-15,100,145000,7
C0008,P014,Transmission Assembly TA-800,62,5177000,5
C0008,P015,Engine Block EB-600,41,4879000,5
C0008,P016,Radiator RD-250,72,734400,4
C0008,P017,Fan Belt FB-30,85,44200,7
C0008,P018,Wheel Rim WR-24,81,915300,7
C0008,P019,Swing Motor SWM-350,88,3502400,7
C0008,P020,Pivot Pin PP-12,61,70150,6
C0008,P021,Boom Cylinder BC-400,62,2864400,5
C0008,P022,Control Valve CV-75,99,1673100,8
C0008,P023,Idler Wheel IW-55,75,971250,7
C0008,P024,Track Roller TR-60,88,906400,7
C0008,P025,Cabin Glass CG-20,69,541650,5
C0008,P026,Grease Cartridge GC-5,75,23250,6
C0008,P027,O-Ring Set OR-50,74,35520,7
C0008,P028,Light Assembly LA-18,134,301500,8
C0008,P029,Pressure Sensor PS-90,85,335750,8
C0008,P030,Fuel Pump FP-350,129,2825100,11
C0009,P001,Hydraulic Pump HP-300,89,2180500,6
C0009,P002,Engine Oil Filter OF-90,90,64800,5
C0009,P003,Air Filter AF-120,46,57500,7
C0009,P004,Track Chain TC-45,51,2029800,3
C0009,P005,Fuel Injector FI-220,87,735150,6
C0009,P006,Alternator ALT-500,98,1097600,8
C0009,P007,Hydraulic Hose HH-60,128,185600,10
C0009,P008,Bucket Tooth BT-10,58,33640,5
C0009,P009,Starter Motor SM-700,80,1192000,9
C0009,P010,Turbocharger TB-900,134,4676600,8
C0009,P011,Hydraulic Cylinder HC-200,78,2152800,10
C0009,P012,Brake Pad BP-40,145,355250,8
C0009,P013,Seal Kit SK-15,100,145000,10
C0009,P014,Transmission Assembly TA-800,82,6847000,6
C0009,P015,Engine Block EB-600,144,17136000,9
