product_id,product_name,total_units,total_revenue,total_orders,customers
P015,Engine Block EB-600,16008,1904952000,1260,125
P014,Transmission Assembly TA-800,14591,1218348500,1206,125
P021,Boom Cylinder BC-400,14625,675675000,1208,125
P004,Track Chain TC-45,14569,579846200,1184,125
P019,Swing Motor SWM-350,14215,565757000,1194,125
P010,Turbocharger TB-900,15522,541717800,1287,125
P011,Hydraulic Cylinder HC-200,14203,392002800,1208,125
P001,Hydraulic Pump HP-300,13770,337365000,1146,125
P030,Fuel Pump FP-350,14038,307432200,1165,125
P022,Control Valve CV-75,14045,237360500,1180,125
P009,Starter Motor SM-700,13766,205113400,1137,125
P023,Idler Wheel IW-55,13303,172273850,1143,125
P006,Alternator ALT-500,14367,160910400,1211,125
P018,Wheel Rim WR-24,13919,157284700,1209,125
P016,Radiator RD-250,13629,139015800,1178,125
P024,Track Roller TR-60,13232,136289600,1146,125
P005,Fuel Injector FI-220,13980,118131000,1170,125
P025,Cabin Glass CG-20,13640,107074000,1153,125
P029,Pressure Sensor PS-90,13939,55059050,1156,125
P012,Brake Pad BP-40,13498,33070100,1139,125
P028,Light Assembly LA-18,14175,31893750,1208,125
P007,Hydraulic Hose HH-60,13483,19550350,1135,125
P013,Seal Kit SK-15,13257,19222650,1127,125
P003,Air Filter AF-120,13006,16257500,1134,125
P020,Pivot Pin PP-12,13607,15648050,1121,125
P002,Engine Oil Filter OF-90,13151,9468720,1133,125
P008,Bucket Tooth BT-10,14024,8133920,1185,125
P017,Fan Belt FB-30,13437,6987240,1161,125
P027,O-Ring Set OR-50,13941,6691680,1168,125
P026,Grease Cartridge GC-5,13581,4210110,1133,125
