order_date,active_customers,total_orders,total_revenue
2019-01-31,215,286,392951210
2019-02-28,185,237,281974060
2019-03-31,228,294,368326180
2019-04-30,219,281,368885680
2019-05-31,215,285,364324690
2019-06-30,209,271,349101010
2019-07-31,230,290,398285610
2019-08-31,239,297,378476380
2019-09-30,204,272,327429320
2019-10-31,205,264,350047720
2019-11-30,218,294,347343600
2019-12-31,211,265,313009840
2020-01-31,202,273,344476000
2020-02-29,195,247,302530350
2020-03-31,195,257,348644830
2020-04-30,198,248,326825510
2020-05-31,233,320,390087550
2020-06-30,212,265,340126790
2020-07-31,244,333,429255230
2020-08-31,219,294,407732980
2020-09-30,215,265,352835480
2020-10-31,214,272,338214480
2020-11-30,217,287,344774160
2020-12-31,219,297,394043830
2021-01-31,220,283,376010890
2021-02-28,216,270,352421960
2021-03-31,204,265,336988670
2021-04-30,220,278,353973940
2021-05-31,208,271,330419100
2021-06-30,213,271,330486730
2021-07-31,223,282,337100070
2021-08-31,201,256,364567330
2021-09-30,212,277,351274940
2021-10-31,219,302,366036550
2021-11-30,229,307,355543770
2021-12-31,221,303,395988590
2022-01-31,220,289,356761440
2022-02-28,203,246,323782500
2022-03-31,224,285,373132850
2022-04-30,202,263,335667010
2022-05-31,232,306,388237960
2022-06-30,214,266,338985710
2022-07-31,199,262,336471190
2022-08-31,227,293,379471030
2022-09-30,219,264,350608970
2022-10-31,213,278,374677670
2022-11-30,198,256,346547710
2022-12-31,210,271,342372380
2023-01-31,206,260,314755010
2023-02-28,196,253,335486970
2023-03-31,229,298,393630030
2023-04-30,209,278,399295140
2023-05-31,214,293,326893700
2023-06-30,206,271,346736650
2023-07-31,209,277,344006350
2023-08-31,222,295,373797220
2023-09-30,230,311,380093280
2023-10-31,199,265,343621060
2023-11-30,207,267,335658470
2023-12-31,215,278,339001500
2024-01-31,231,305,374371710
2024-02-29,213,260,340878920
2024-03-31,212,282,333840930
2024-04-30,211,263,318555000
2024-05-31,188,243,326434300
2024-06-30,211,274,351105300
2024-07-31,211,279,340990310
2024-08-31,216,288,337495540
2024-09-30,217,297,378860380
2024-10-31,218,283,391009730
2024-11-30,216,288,335130770
2024-12-31,194,254,328512840
