order_date,total_customers,repeat_customers,repeat_customer_rate
2019-01-31,215,54,25.116279069767444
2019-02-28,185,46,24.864864864864867
2019-03-31,228,54,23.684210526315788
2019-04-30,219,49,22.37442922374429
2019-05-31,215,53,24.651162790697676
2019-06-30,209,51,24.401913875598087
2019-07-31,230,52,22.608695652173914
2019-08-31,239,51,21.338912133891213
2019-09-30,204,60,29.411764705882355
2019-10-31,205,51,24.878048780487806
2019-11-30,218,61,27.981651376146786
2019-12-31,211,48,22.748815165876778
2020-01-31,202,58,28.71287128712871
2020-02-29,195,44,22.564102564102566
2020-03-31,195,53,27.17948717948718
2020-04-30,198,45,22.727272727272727
2020-05-31,233,68,29.184549356223176
2020-06-30,212,52,24.528301886792452
2020-07-31,244,76,31.147540983606557
2020-08-31,219,66,30.136986301369863
2020-09-30,215,40,18.6046511627907
2020-10-31,214,45,21.02803738317757
2020-11-30,217,58,26.72811059907834
2020-12-31,219,63,28.767123287671232
2021-01-31,220,54,24.545454545454547
2021-02-28,216,47,21.75925925925926
2021-03-31,204,51,25.0
2021-04-30,220,46,20.909090909090907
2021-05-31,208,54,25.961538461538463
2021-06-30,213,49,23.004694835680752
2021-07-31,223,51,22.869955156950674
2021-08-31,201,50,24.875621890547265
2021-09-30,212,58,27.358490566037734
2021-10-31,219,68,31.05022831050228
2021-11-30,229,66,28.82096069868996
2021-12-31,221,64,28.95927601809955
2022-01-31,220,55,25.0
2022-02-28,203,38,18.7192118226601
2022-03-31,224,50,22.321428571428573
2022-04-30,202,53,26.237623762376238
2022-05-31,232,63,27.155172413793103
2022-06-30,214,42,19.626168224299064
2022-07-31,199,49,24.623115577889447
2022-08-31,227,56,24.669603524229075
2022-09-30,219,39,17.80821917808219
2022-10-31,213,51,23.943661971830984
2022-11-30,198,48,24.242424242424242
2022-12-31,210,55,26.190476190476193
2023-01-31,206,45,21.844660194174757
2023-02-28,196,44,22.448979591836736
2023-03-31,229,57,24.890829694323145
2023-04-30,209,55,26.31578947368421
2023-05-31,214,60,28.037383177570092
2023-06-30,206,51,24.75728155339806
2023-07-31,209,55,26.31578947368421
2023-08-31,222,57,25.675675675675674
2023-09-30,230,68,29.565217391304348
2023-10-31,199,52,26.13065326633166
2023-11-30,207,50,24.154589371980677
2023-12-31,215,50,23.25581395348837
2024-01-31,231,58,25.108225108225106
2024-02-29,213,40,18.779342723004692
2024-03-31,212,58,27.358490566037734
2024-04-30,211,45,21.32701421800948
2024-05-31,188,47,25.0
2024-06-30,211,51,24.170616113744074
2024-07-31,211,60,28.436018957345972
2024-08-31,216,53,24.537037037037038
2024-09-30,217,66,30.414746543778804
2024-10-31,218,51,23.394495412844037
2024-11-30,216,60,27.77777777777778
2024-12-31,194,53,27.31958762886598
